Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR23126510_trimmed_polyA	31.79230201758905	45.0	81.43295572484797	100	9.090909090909092	3081322.0
SRR23126511_trimmed_polyA	38.57409062266882	45.0	81.91571077973462	100	9.090909090909092	5662978.0
SRR23126512_trimmed_polyA	38.644987417524604	44.0	87.3995247798792	100	0.0	3936702.0
SRR23126513_trimmed_polyA	26.126961927849763	44.0	81.10458781646345	100	18.181818181818183	2344623.0
SRR23126514_trimmed_polyA	35.25946295941242	44.0	84.10447303965549	100	9.090909090909092	3483023.0
SRR23126515_trimmed_polyA	38.82525757768748	45.0	82.49601844264956	100	9.090909090909092	6006946.0
SRR23126516_trimmed_polyA	40.48990305289833	44.0	81.62158518667884	100	18.181818181818183	6496585.0
SRR23126517_trimmed_polyA	39.472314937029886	45.0	83.22796913326998	100	9.090909090909092	6359339.0
SRR23126518_trimmed_polyA	28.019178915292827	44.0	85.20805229153537	100	9.090909090909092	2406967.0
SRR23126519_trimmed_polyA	28.380856236935756	45.0	84.20614409436091	100	9.090909090909092	2647876.0
SRR23126520_trimmed_polyA	33.92975356148065	44.0	86.05837136405033	100	0.0	2181789.0
SRR23126521_trimmed_polyA	31.38638013172256	44.0	87.0448895734139	100	0.0	2130918.0
SRR23126522_trimmed_polyA	33.77557251179614	44.0	88.44414504399901	100	0.0	2255619.0
SRR23126523_trimmed_polyA	49.30310646190471	44.0	87.5939138080783	100	0.0	4279589.0
SRR23126524_trimmed_polyA	28.923311332389204	44.0	82.89009029229722	100	9.090909090909092	2459346.0
SRR23126525_trimmed_polyA	36.984762933168916	45.0	84.8201116928879	100	9.090909090909092	4359633.0
SRR23126526_trimmed_polyA	34.59715522758022	45.0	85.03398449897765	100	9.090909090909092	4237785.0
SRR23126527_trimmed_polyA	49.07452726611684	44.0	88.89238833299756	100	0.0	5584125.0
