Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR23126510	31.997141681247285	40.0	90.20582926752037	100	27.27272727272727	3505449.0
SRR23126511	38.706307280878164	40.0	90.8252996106599	100	27.27272727272727	6390043.0
SRR23126512	38.88067752476441	41.0	94.30780607403275	100	18.181818181818183	4277323.0
SRR23126513	26.51216685341626	40.0	89.8521938854266	100	27.27272727272727	2688495.0
SRR23126514	35.27908651202493	41.0	92.74785853835506	100	27.27272727272727	3806629.0
SRR23126515	39.13700589700122	40.0	91.41120055726684	100	27.27272727272727	6718505.0
SRR23126516	40.04748183613772	40.0	90.38601901178369	100	27.27272727272727	7395729.0
SRR23126517	39.192517133618445	41.0	91.58439878536983	100	18.181818181818183	7067501.0
SRR23126518	28.362250600847872	40.0	91.88337058327993	100	27.27272727272727	2710071.0
SRR23126519	28.906346169407925	40.0	91.34993770509182	100	18.181818181818183	2980982.0
SRR23126520	34.65981911560863	39.0	90.91310298038672	100	18.181818181818183	2570606.0
SRR23126521	31.70249293451394	40.0	92.00455803380294	100	18.181818181818183	2422097.0
SRR23126522	34.36556224247656	40.0	93.38228622078296	100	18.181818181818183	2539571.0
SRR23126523	49.649111012047875	40.0	92.82363388679508	100	18.181818181818183	4850019.0
SRR23126524	29.5225702565062	40.0	90.39440644804317	100	18.181818181818183	2804944.0
SRR23126525	37.446060453190086	41.0	92.75773649704452	100	18.181818181818183	4761328.0
SRR23126526	34.89666852591208	42.0	92.82329691161324	100	18.181818181818183	4629472.0
SRR23126527	47.24916585127059	41.0	94.0155173120967	100	18.181818181818183	6046408.0
