Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR23126510	31.93618027403346	42.0	101.0	101	18.181818181818183	3672713.0
SRR23126511	38.49043971363852	42.0	101.0	101	18.181818181818183	6744940.0
SRR23126512	39.08917608652086	41.0	101.0	101	18.181818181818183	4401943.0
SRR23126513	26.698442073559875	41.0	101.0	101	18.181818181818183	2877474.0
SRR23126514	35.2273046150881	41.0	101.0	101	18.181818181818183	3954374.0
SRR23126515	38.60400656077717	42.0	101.0	101	18.181818181818183	7085196.0
SRR23126516	39.37844444781335	41.0	101.0	101	18.181818181818183	7921541.0
SRR23126517	37.89535615169212	43.0	101.0	101	18.181818181818183	7493505.0
SRR23126518	28.23539995175574	42.0	101.0	101	18.181818181818183	2819075.0
SRR23126519	29.00536390544461	42.0	101.0	101	18.181818181818183	3142518.0
SRR23126520	34.65407321713231	40.0	101.0	101	18.181818181818183	2689050.0
SRR23126521	31.59331258108898	41.0	101.0	101	18.181818181818183	2511224.0
SRR23126522	34.527488923758895	41.0	101.0	101	18.181818181818183	2611888.0
SRR23126523	49.63373862401655	41.0	101.0	101	18.181818181818183	4993304.0
SRR23126524	29.415657583368414	42.0	101.0	101	18.181818181818183	2942797.0
SRR23126525	37.1520111439597	42.0	101.0	101	18.181818181818183	4946281.0
SRR23126526	34.653016512209476	42.0	101.0	101	18.181818181818183	4807150.0
SRR23126527	46.138350494343506	42.0	101.0	101	9.090909090909092	6281133.0
